Approved symbol,Approved name,Status,Chromosome,Ensembl gene ID,Mitochondria,chr,arm,pos
RPS3AP12,RPS3A pseudogene 12,Approved,1p12,ENSG00000236804,no,01,p,12
SEC22B,"SEC22 homolog B, vesicle trafficking protein",Approved,1p12,ENSG00000265808,no,01,p,12
SPAG17,sperm associated antigen 17,Approved,1p12,ENSG00000155761,no,01,p,12
TBX15,T-box transcription factor 15,Approved,1p12,ENSG00000092607,no,01,p,12
TENT5C,terminal nucleotidyltransferase 5C,Approved,1p12,ENSG00000183508,no,01,p,12
TENT5C-DT,TENT5C divergent transcript,Approved,1p12,ENSG00000236866,no,01,p,12
VDAC2P3,VDAC2 pseudogene 3,Approved,1p12,ENSG00000213262,no,01,p,12
VPS25P1,VPS25 pseudogene 1,Approved,1p12,ENSG00000226755,no,01,p,12
WARS2,"tryptophanyl tRNA synthetase 2, mitochondrial",Approved,1p12,ENSG00000116874,no,01,p,12
WARS2-AS1,WARS2 antisense RNA 1,Approved,1p12,ENSG00000231365,no,01,p,12
WARS2-IT1,WARS2 intronic transcript 1,Approved,1p12,ENSG00000224238,no,01,p,12
WDR3,WD repeat domain 3,Approved,1p12,ENSG00000065183,no,01,p,12
ZNF697,zinc finger protein 697,Approved,1p12,ENSG00000143067,no,01,p,12
RNU6V,"RNA, U6 small nuclear variant sequence with SNRPE pseudogene sequence",Approved,1p13,ENSG00000206832,no,01,p,13
ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,Approved,1p13.1,ENSG00000163399,no,01,p,13.1
ATP1A1-AS1,ATP1A1 antisense RNA 1,Approved,1p13.1,ENSG00000203865,no,01,p,13.1
CASQ2,calsequestrin 2,Approved,1p13.1,ENSG00000118729,no,01,p,13.1
CD2,CD2 molecule,Approved,1p13.1,ENSG00000116824,no,01,p,13.1
CD58,CD58 molecule,Approved,1p13.1,ENSG00000116815,no,01,p,13.1
CD101,CD101 molecule,Approved,1p13.1,ENSG00000134256,no,01,p,13.1
CD101-AS1,CD101 antisense RNA 1,Approved,1p13.1,ENSG00000236137,no,01,p,13.1
CNOT7P2,CCR4-NOT transcription complex subunit 7 pseudogene 2,Approved,1p13.1,ENSG00000232185,no,01,p,13.1
ELOCP20,elongin C pseudogene 20,Approved,1p13.1,ENSG00000229101,no,01,p,13.1
FTH1P22,ferritin heavy chain 1 pseudogene 22,Approved,1p13.1,ENSG00000225079,no,01,p,13.1
GAPDHP64,glyceraldehyde-3-phosphate dehydrogenase pseudogene 64,Approved,1p13.1,ENSG00000231072,no,01,p,13.1
HNRNPA1P43,heterogeneous nuclear ribonucleoprotein A1 pseudogene 43,Approved,1p13.1,ENSG00000214204,no,01,p,13.1
IGSF3,immunoglobulin superfamily member 3,Approved,1p13.1,ENSG00000143061,no,01,p,13.1
LINC01649,long intergenic non-protein coding RNA 1649,Approved,1p13.1,ENSG00000228127,no,01,p,13.1
LINC01762,long intergenic non-protein coding RNA 1762,Approved,1p13.1,ENSG00000233154,no,01,p,13.1
LINC01779,long intergenic non-protein coding RNA 1779,Approved,1p13.1,ENSG00000235933,no,01,p,13.1
LINC02868,long intergenic non-protein coding RNA 2868,Approved,1p13.1,ENSG00000203864,no,01,p,13.1
MAB21L3,mab-21 like 3,Approved,1p13.1,ENSG00000173212,no,01,p,13.1
MIR320B1,microRNA 320b-1,Approved,1p13.1,ENSG00000211543,no,01,p,13.1
MIR942,microRNA 942,Approved,1p13.1,ENSG00000215930,no,01,p,13.1
NAP1L4P1,nucleosome assembly protein 1 like 4 pseudogene 1,Approved,1p13.1,ENSG00000177173,no,01,p,13.1
NEFHP1,neurofilament heavy pseudogene 1,Approved,1p13.1,ENSG00000223489,no,01,p,13.1
NHLH2,nescient helix-loop-helix 2,Approved,1p13.1,ENSG00000177551,no,01,p,13.1
PTGFRN,prostaglandin F2 receptor inhibitor,Approved,1p13.1,ENSG00000134247,no,01,p,13.1
RN7SL420P,"RNA, 7SL, cytoplasmic 420, pseudogene",Approved,1p13.1,ENSG00000239984,no,01,p,13.1
RNA5SP55,"RNA, 5S ribosomal pseudogene 55",Approved,1p13.1,ENSG00000252510,no,01,p,13.1
RNU6-817P,"RNA, U6 small nuclear 817, pseudogene",Approved,1p13.1,ENSG00000212385,no,01,p,13.1
RPS15AP9,ribosomal protein S15a pseudogene 9,Approved,1p13.1,ENSG00000228453,no,01,p,13.1
SLC22A15,solute carrier family 22 member 15,Approved,1p13.1,ENSG00000163393,no,01,p,13.1
TRIM45,tripartite motif containing 45,Approved,1p13.1,ENSG00000134253,no,01,p,13.1
TTF2,transcription termination factor 2,Approved,1p13.1,ENSG00000116830,no,01,p,13.1
VANGL1,VANGL planar cell polarity protein 1,Approved,1p13.1,ENSG00000173218,no,01,p,13.1
VTCN1,V-set domain containing T cell activation inhibitor 1,Approved,1p13.1-p12,ENSG00000134258,no,01,p,13.1-p12
ADORA3,adenosine A3 receptor,Approved,1p13.2,ENSG00000282608,no,01,p,13.2
AKR7A2P1,AKR7A2 pseudogene 1,Approved,1p13.2,ENSG00000229020,no,01,p,13.2
AMPD1,adenosine monophosphate deaminase 1,Approved,1p13.2,ENSG00000116748,no,01,p,13.2
AP4B1,adaptor related protein complex 4 subunit beta 1,Approved,1p13.2,ENSG00000134262,no,01,p,13.2
AP4B1-AS1,AP4B1 antisense RNA 1,Approved,1p13.2,ENSG00000226167,no,01,p,13.2
ATP5PB,ATP synthase peripheral stalk-membrane subunit b,Approved,1p13.2,ENSG00000116459,no,01,p,13.2
BCAS2,BCAS2 pre-mRNA processing factor,Approved,1p13.2,ENSG00000116752,no,01,p,13.2
BCL2L15,BCL2 like 15,Approved,1p13.2,ENSG00000188761,no,01,p,13.2
C1orf162,chromosome 1 open reading frame 162,Approved,1p13.2,ENSG00000143110,no,01,p,13.2
CAPZA1,capping actin protein of muscle Z-line subunit alpha 1,Approved,1p13.2,ENSG00000116489,no,01,p,13.2
CHI3L2,chitinase 3 like 2,Approved,1p13.2,ENSG00000064886,no,01,p,13.2
CHIA,chitinase acidic,Approved,1p13.2,ENSG00000134216,no,01,p,13.2
CHIAP1,"chitinase, acidic pseudogene 1",Approved,1p13.2,ENSG00000236040,no,01,p,13.2
CHIAP2,"chitinase, acidic pseudogene 2",Approved,1p13.2,ENSG00000203878,no,01,p,13.2
CHIAP3,"chitinase, acidic pseudogene 3",Approved,1p13.2,ENSG00000234020,no,01,p,13.2
CSDE1,cold shock domain containing E1,Approved,1p13.2,ENSG00000009307,no,01,p,13.2
CTTNBP2NL,CTTNBP2 N-terminal like,Approved,1p13.2,ENSG00000143079,no,01,p,13.2
DCLRE1B,DNA cross-link repair 1B,Approved,1p13.2,ENSG00000118655,no,01,p,13.2
DDX20,DEAD-box helicase 20,Approved,1p13.2,ENSG00000064703,no,01,p,13.2
DENND2C,DENN domain containing 2C,Approved,1p13.2,ENSG00000175984,no,01,p,13.2
EIF2S2P5,eukaryotic translation initiation factor 2 subunit 2 beta pseudogene 5,Approved,1p13.2,ENSG00000225650,no,01,p,13.2
HIGD1AP12,HIG1 hypoxia inducible domain family member 1A pseudogene 12,Approved,1p13.2,ENSG00000236012,no,01,p,13.2
HIPK1,homeodomain interacting protein kinase 1,Approved,1p13.2,ENSG00000163349,no,01,p,13.2
HIPK1-AS1,HIPK1 antisense RNA 1,Approved,1p13.2,ENSG00000235527,no,01,p,13.2
INKA2,inka box actin regulator 2,Approved,1p13.2,ENSG00000197852,no,01,p,13.2
INKA2-AS1,INKA2 antisense RNA 1,Approved,1p13.2,ENSG00000227811,no,01,p,13.2
KCND3,potassium voltage-gated channel subfamily D member 3,Approved,1p13.2,ENSG00000171385,no,01,p,13.2
KCND3-AS1,KCND3 antisense RNA 1,Approved,1p13.2,ENSG00000237556,no,01,p,13.2
KCND3-IT1,KCND3 intronic transcript 1,Approved,1p13.2,ENSG00000232558,no,01,p,13.2
KRT18P57,keratin 18 pseudogene 57,Approved,1p13.2,ENSG00000215867,no,01,p,13.2
LINC01160,long intergenic non-protein coding RNA 1160,Approved,1p13.2,ENSG00000231346,no,01,p,13.2
LINC01356,long intergenic non-protein coding RNA 1356,Approved,1p13.2,ENSG00000215866,no,01,p,13.2
LINC01357,long intergenic non-protein coding RNA 1357,Approved,1p13.2,ENSG00000224167,no,01,p,13.2
LINC01750,long intergenic non-protein coding RNA 1750,Approved,1p13.2,ENSG00000231437,no,01,p,13.2
LINC01765,long intergenic non-protein coding RNA 1765,Approved,1p13.2,ENSG00000233730,no,01,p,13.2
LINC02884,long intergenic non-protein coding RNA 2884,Approved,1p13.2,ENSG00000231246,no,01,p,13.2
LRIG2,leucine rich repeats and immunoglobulin like domains 2,Approved,1p13.2,ENSG00000198799,no,01,p,13.2
LRIG2-DT,LRIG2 divergent transcript,Approved,1p13.2,ENSG00000238198,no,01,p,13.2
MAGI3,"membrane associated guanylate kinase, WW and PDZ domain containing 3",Approved,1p13.2,ENSG00000081026,no,01,p,13.2
MOV10,Mov10 RISC complex RNA helicase,Approved,1p13.2,ENSG00000155363,no,01,p,13.2
MRPL53P1,mitochondrial ribosomal protein L53 pseudogene 1,Approved,1p13.2,ENSG00000235299,no,01,p,13.2
MRPL57P1,mitochondrial ribosomal protein L57 pseudogene 1,Approved,1p13.2,ENSG00000273698,no,01,p,13.2
MTND5P20,MT-ND5 pseudogene 20,Approved,1p13.2,ENSG00000238256,no,01,p,13.2
NGF,nerve growth factor,Approved,1p13.2,ENSG00000134259,no,01,p,13.2
NGF-AS1,NGF antisense RNA 1,Approved,1p13.2,ENSG00000228035,no,01,p,13.2
NR1H5P,"nuclear receptor subfamily 1 group H member 5, pseudogene",Approved,1p13.2,ENSG00000227970,no,01,p,13.2
NRAS,"NRAS proto-oncogene, GTPase",Approved,1p13.2,ENSG00000213281,no,01,p,13.2
NUTF2P4,nuclear transport factor 2 pseudogene 4,Approved,1p13.2,ENSG00000234790,no,01,p,13.2
OLFML3,olfactomedin like 3,Approved,1p13.2,ENSG00000116774,no,01,p,13.2
OVGP1,oviductal glycoprotein 1,Approved,1p13.2,ENSG00000085465,no,01,p,13.2
PGBP,"pepsinogen B, pseudogene",Approved,1p13.2,ENSG00000227179,no,01,p,13.2
PHTF1,putative homeodomain transcription factor 1,Approved,1p13.2,ENSG00000116793,no,01,p,13.2
PIFO,primary cilia formation,Approved,1p13.2,ENSG00000173947,no,01,p,13.2
PKMP1,pyruvate kinase M1/2 pseudogene 1,Approved,1p13.2,ENSG00000236480,no,01,p,13.2
PPM1J,"protein phosphatase, Mg2+/Mn2+ dependent 1J",Approved,1p13.2,ENSG00000155367,no,01,p,13.2
PPM1J-DT,PPM1J divergent transcript,Approved,1p13.2,ENSG00000261595,no,01,p,13.2
PTPN22,protein tyrosine phosphatase non-receptor type 22,Approved,1p13.2,ENSG00000134242,no,01,p,13.2
RAP1A,"RAP1A, member of RAS oncogene family",Approved,1p13.2,ENSG00000116473,no,01,p,13.2
RHOC,ras homolog family member C,Approved,1p13.2,ENSG00000155366,no,01,p,13.2
RLIMP2,"ring finger protein, LIM domain interacting pseudogene 2",Approved,1p13.2,ENSG00000237278,no,01,p,13.2
RN7SL432P,"RNA, 7SL, cytoplasmic 432, pseudogene",Approved,1p13.2,ENSG00000242769,no,01,p,13.2
RNU6-151P,"RNA, U6 small nuclear 151, pseudogene",Approved,1p13.2,ENSG00000201028,no,01,p,13.2
RNU6-792P,"RNA, U6 small nuclear 792, pseudogene",Approved,1p13.2,ENSG00000200360,no,01,p,13.2
RNU7-70P,"RNA, U7 small nuclear 70 pseudogene",Approved,1p13.2,ENSG00000252750,no,01,p,13.2
RNY1P13,RNY1 pseudogene 13,Approved,1p13.2,ENSG00000201900,no,01,p,13.2
RSBN1,round spermatid basic protein 1,Approved,1p13.2,ENSG00000081019,no,01,p,13.2
SIKE1,suppressor of IKBKE 1,Approved,1p13.2,ENSG00000052723,no,01,p,13.2
SLC16A1,solute carrier family 16 member 1,Approved,1p13.2,ENSG00000155380,no,01,p,13.2
SLC16A1-AS1,SLC16A1 antisense RNA 1,Approved,1p13.2,ENSG00000226419,no,01,p,13.2
ST7L,suppression of tumorigenicity 7 like,Approved,1p13.2,ENSG00000007341,no,01,p,13.2
SYCP1,synaptonemal complex protein 1,Approved,1p13.2,ENSG00000198765,no,01,p,13.2
SYT6,synaptotagmin 6,Approved,1p13.2,ENSG00000134207,no,01,p,13.2
TAFA3,TAFA chemokine like family member 3,Approved,1p13.2,ENSG00000184599,no,01,p,13.2
TMIGD3,transmembrane and immunoglobulin domain containing 3,Approved,1p13.2,ENSG00000121933,no,01,p,13.2
TRIM33,tripartite motif containing 33,Approved,1p13.2,ENSG00000197323,no,01,p,13.2
TSHB,thyroid stimulating hormone subunit beta,Approved,1p13.2,ENSG00000134200,no,01,p,13.2
TSPAN2,tetraspanin 2,Approved,1p13.2,ENSG00000134198,no,01,p,13.2
TXNP3,thioredoxin pseudogene 3,Approved,1p13.2,ENSG00000234388,no,01,p,13.2
UBE2FP3,UBE2F pseudogene 3,Approved,1p13.2,ENSG00000233337,no,01,p,13.2
WDR77,WD repeat domain 77,Approved,1p13.2,ENSG00000116455,no,01,p,13.2
WNT2B,Wnt family member 2B,Approved,1p13.2,ENSG00000134245,no,01,p,13.2
AHCYL1,adenosylhomocysteinase like 1,Approved,1p13.3,ENSG00000168710,no,01,p,13.3
AKNAD1,AKNA domain containing 1,Approved,1p13.3,ENSG00000162641,no,01,p,13.3
ALX3,ALX homeobox 3,Approved,1p13.3,ENSG00000156150,no,01,p,13.3
AMIGO1,adhesion molecule with Ig like domain 1,Approved,1p13.3,ENSG00000181754,no,01,p,13.3
AMPD2,adenosine monophosphate deaminase 2,Approved,1p13.3,ENSG00000116337,no,01,p,13.3
ATXN7L2,ataxin 7 like 2,Approved,1p13.3,ENSG00000162650,no,01,p,13.3
CCNT2P1,cyclin T2 pseudogene 1,Approved,1p13.3,ENSG00000225672,no,01,p,13.3
CD53,CD53 molecule,Approved,1p13.3,ENSG00000143119,no,01,p,13.3
CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,Approved,1p13.3,ENSG00000143126,no,01,p,13.3
CEPT1,choline/ethanolamine phosphotransferase 1,Approved,1p13.3,ENSG00000134255,no,01,p,13.3
CFAP276,cilia and flagella associated protein 276,Approved,1p13.3,ENSG00000179902,no,01,p,13.3
CLCC1,chloride channel CLIC like 1,Approved,1p13.3,ENSG00000121940,no,01,p,13.3
CSF1,colony stimulating factor 1,Approved,1p13.3,ENSG00000184371,no,01,p,13.3
CYB561D1,cytochrome b561 family member D1,Approved,1p13.3,ENSG00000174151,no,01,p,13.3
CYMP,"chymosin, pseudogene",Approved,1p13.3,ENSG00000240194,no,01,p,13.3
CYMP-AS1,CYMP antisense RNA 1,Approved,1p13.3,ENSG00000235407,no,01,p,13.3
DRAM2,DNA damage regulated autophagy modulator 2,Approved,1p13.3,ENSG00000156171,no,01,p,13.3
ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1,Approved,1p13.3,ENSG00000116299,no,01,p,13.3
EPS8L3,EPS8 like 3,Approved,1p13.3,ENSG00000198758,no,01,p,13.3
FAM102B,family with sequence similarity 102 member B,Approved,1p13.3,ENSG00000162636,no,01,p,13.3
FNDC7,fibronectin type III domain containing 7,Approved,1p13.3,ENSG00000143107,no,01,p,13.3
GNAI3,G protein subunit alpha i3,Approved,1p13.3,ENSG00000065135,no,01,p,13.3
GNAT2,G protein subunit alpha transducin 2,Approved,1p13.3,ENSG00000134183,no,01,p,13.3
GPR61,G protein-coupled receptor 61,Approved,1p13.3,ENSG00000156097,no,01,p,13.3
GPSM2,G protein signaling modulator 2,Approved,1p13.3,ENSG00000121957,no,01,p,13.3
GSTM1,glutathione S-transferase mu 1,Approved,1p13.3,ENSG00000134184,no,01,p,13.3
GSTM2,glutathione S-transferase mu 2,Approved,1p13.3,ENSG00000213366,no,01,p,13.3
GSTM3,glutathione S-transferase mu 3,Approved,1p13.3,ENSG00000134202,no,01,p,13.3
GSTM4,glutathione S-transferase mu 4,Approved,1p13.3,ENSG00000168765,no,01,p,13.3
GSTM5,glutathione S-transferase mu 5,Approved,1p13.3,ENSG00000134201,no,01,p,13.3
HENMT1,HEN methyltransferase 1,Approved,1p13.3,ENSG00000162639,no,01,p,13.3
KCNA2,potassium voltage-gated channel subfamily A member 2,Approved,1p13.3,ENSG00000177301,no,01,p,13.3
KCNA3,potassium voltage-gated channel subfamily A member 3,Approved,1p13.3,ENSG00000177272,no,01,p,13.3
KCNA10,potassium voltage-gated channel subfamily A member 10,Approved,1p13.3,ENSG00000143105,no,01,p,13.3
KCNC4,potassium voltage-gated channel subfamily C member 4,Approved,1p13.3,ENSG00000116396,no,01,p,13.3
KCNC4-DT,KCNC4 divergent transcript,Approved,1p13.3,ENSG00000224965,no,01,p,13.3
LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",Approved,1p13.3,ENSG00000134248,no,01,p,13.3
LAMTOR5-AS1,LAMTOR5 antisense RNA 1,Approved,1p13.3,ENSG00000224699,no,01,p,13.3
LINC01397,long intergenic non-protein coding RNA 1397,Approved,1p13.3,ENSG00000258673,no,01,p,13.3
LINC01661,long intergenic non-protein coding RNA 1661,Approved,1p13.3,ENSG00000237460,no,01,p,13.3
LINC01768,long intergenic non-protein coding RNA 1768,Approved,1p13.3,ENSG00000228420,no,01,p,13.3
LINC02785,long intergenic non-protein coding RNA 2785,Approved,1p13.3,ENSG00000226822,no,01,p,13.3
LRIF1,ligand dependent nuclear receptor interacting factor 1,Approved,1p13.3,ENSG00000121931,no,01,p,13.3
MIR197,microRNA 197,Approved,1p13.3,ENSG00000284443,no,01,p,13.3
MTATP6P14,MT-ATP6 pseudogene 14,Approved,1p13.3,ENSG00000233449,no,01,p,13.3
MTCO1P14,MT-CO1 pseudogene 14,Approved,1p13.3,ENSG00000232551,no,01,p,13.3
MYBPHL,myosin binding protein H like,Approved,1p13.3,ENSG00000221986,no,01,p,13.3
NBPF4,NBPF member 4,Approved,1p13.3,ENSG00000196427,no,01,p,13.3
NBPF5P,"NBPF member 5, pseudogene",Approved,1p13.3,ENSG00000243967,no,01,p,13.3
NBPF6,NBPF member 6,Approved,1p13.3,ENSG00000186086,no,01,p,13.3
NDUFA4P1,NDUFA4 pseudogene 1,Approved,1p13.3,ENSG00000224550,no,01,p,13.3
NDUFA5P10,NADH:ubiquinone oxidoreductase subunit A5 pseudogene 10,Approved,1p13.3,ENSG00000224927,no,01,p,13.3
NRBF2P3,nuclear receptor binding factor 2 pseudogene 3,Approved,1p13.3,ENSG00000237415,no,01,p,13.3
NTNG1,netrin G1,Approved,1p13.3,ENSG00000162631,no,01,p,13.3
OR11I1P,olfactory receptor family 11 subfamily I member 1 pseudogene,Approved,1p13.3,ENSG00000232791,no,01,p,13.3
PRMT6,protein arginine methyltransferase 6,Approved,1p13.3,ENSG00000198890,no,01,p,13.3
PROK1,prokineticin 1,Approved,1p13.3,ENSG00000143125,no,01,p,13.3
PRPF38B,pre-mRNA processing factor 38B,Approved,1p13.3,ENSG00000134186,no,01,p,13.3
PSMA5,proteasome 20S subunit alpha 5,Approved,1p13.3,ENSG00000143106,no,01,p,13.3
PSRC1,proline and serine rich coiled-coil 1,Approved,1p13.3,ENSG00000134222,no,01,p,13.3
RANP5,RAN pseudogene 5,Approved,1p13.3,ENSG00000228054,no,01,p,13.3
RBM15,RNA binding motif protein 15,Approved,1p13.3,ENSG00000162775,no,01,p,13.3
RBM15-AS1,RBM15 antisense RNA 1,Approved,1p13.3,ENSG00000227963,no,01,p,13.3
RNA5SP54,"RNA, 5S ribosomal pseudogene 54",Approved,1p13.3,ENSG00000252760,no,01,p,13.3
RPL7P8,ribosomal protein L7 pseudogene 8,Approved,1p13.3,ENSG00000235045,no,01,p,13.3
SARS1,seryl-tRNA synthetase 1,Approved,1p13.3,ENSG00000031698,no,01,p,13.3
SLC6A17,solute carrier family 6 member 17,Approved,1p13.3,ENSG00000197106,no,01,p,13.3
SLC6A17-AS1,SLC6A17 antisense RNA 1,Approved,1p13.3,ENSG00000227091,no,01,p,13.3
SLC16A4,solute carrier family 16 member 4,Approved,1p13.3,ENSG00000168679,no,01,p,13.3
SLC16A4-AS1,SLC16A4 antisense RNA 1,Approved,1p13.3,ENSG00000273373,no,01,p,13.3
SLC25A24,solute carrier family 25 member 24,Approved,1p13.3,ENSG00000085491,no,01,p,13.3
SLC25A24P1,SLC25A24 pseudogene 1,Approved,1p13.3,ENSG00000241361,no,01,p,13.3
SLC25A24P2,SLC25A24 pseudogene 2,Approved,1p13.3,ENSG00000238118,no,01,p,13.3
SORT1,sortilin 1,Approved,1p13.3,ENSG00000134243,no,01,p,13.3
SPATA42,spermatogenesis associated 42,Approved,1p13.3,ENSG00000203897,no,01,p,13.3
ST13P21,"ST13, Hsp70 interacting protein pseudogene 21",Approved,1p13.3,ENSG00000227832,no,01,p,13.3
STRIP1,striatin interacting protein 1,Approved,1p13.3,ENSG00000143093,no,01,p,13.3
STXBP3,syntaxin binding protein 3,Approved,1p13.3,ENSG00000116266,no,01,p,13.3
SYPL2,synaptophysin like 2,Approved,1p13.3,ENSG00000143028,no,01,p,13.3
TAF13,TATA-box binding protein associated factor 13,Approved,1p13.3,ENSG00000197780,no,01,p,13.3
TMEM167B,transmembrane protein 167B,Approved,1p13.3,ENSG00000215717,no,01,p,13.3
TMEM167B-DT,TMEM167B divergent transcript,Approved,1p13.3,ENSG00000273382,no,01,p,13.3
UBL4B,ubiquitin like 4B,Approved,1p13.3,ENSG00000186150,no,01,p,13.3
VAV3,vav guanine nucleotide exchange factor 3,Approved,1p13.3,ENSG00000134215,no,01,p,13.3
VAV3-AS1,VAV3 antisense RNA 1,Approved,1p13.3,ENSG00000230489,no,01,p,13.3
